trial_key,subject_id,session_id,y_true,p0_pred,day32_y_pred,match_day32
grabmyo-S012-D1-hand_close-T01,12,1,hand_close,hand_close,hand_close,True
grabmyo-S012-D1-hand_close-T02,12,1,hand_close,hand_close,hand_close,True
grabmyo-S012-D1-hand_close-T03,12,1,hand_close,hand_close,hand_close,True
grabmyo-S012-D1-hand_close-T04,12,1,hand_close,hand_close,hand_close,True
grabmyo-S012-D1-hand_close-T05,12,1,hand_close,hand_close,hand_close,True
grabmyo-S012-D1-hand_close-T06,12,1,hand_close,hand_close,hand_close,True
grabmyo-S012-D1-hand_close-T07,12,1,hand_close,hand_close,hand_close,True
grabmyo-S012-D1-rest-T01,12,1,rest,rest,rest,True
grabmyo-S012-D1-rest-T02,12,1,rest,rest,rest,True
grabmyo-S012-D1-rest-T03,12,1,rest,rest,rest,True
grabmyo-S012-D1-rest-T04,12,1,rest,rest,rest,True
grabmyo-S012-D1-rest-T05,12,1,rest,rest,rest,True
grabmyo-S012-D1-rest-T06,12,1,rest,rest,rest,True
grabmyo-S012-D1-rest-T07,12,1,rest,rest,rest,True
grabmyo-S012-D1-wrist_extension-T01,12,1,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D1-wrist_extension-T02,12,1,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D1-wrist_extension-T03,12,1,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D1-wrist_extension-T04,12,1,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D1-wrist_extension-T05,12,1,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D1-wrist_extension-T06,12,1,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D1-wrist_extension-T07,12,1,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D1-wrist_flexion-T01,12,1,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D1-wrist_flexion-T02,12,1,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D1-wrist_flexion-T03,12,1,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D1-wrist_flexion-T04,12,1,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D1-wrist_flexion-T05,12,1,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D1-wrist_flexion-T06,12,1,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D1-wrist_flexion-T07,12,1,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D2-hand_close-T01,12,2,hand_close,hand_close,hand_close,True
grabmyo-S012-D2-hand_close-T02,12,2,hand_close,hand_close,hand_close,True
grabmyo-S012-D2-hand_close-T03,12,2,hand_close,hand_close,hand_close,True
grabmyo-S012-D2-hand_close-T04,12,2,hand_close,hand_close,hand_close,True
grabmyo-S012-D2-hand_close-T05,12,2,hand_close,hand_close,hand_close,True
grabmyo-S012-D2-hand_close-T06,12,2,hand_close,hand_close,hand_close,True
grabmyo-S012-D2-hand_close-T07,12,2,hand_close,hand_close,hand_close,True
grabmyo-S012-D2-rest-T01,12,2,rest,rest,rest,True
grabmyo-S012-D2-rest-T02,12,2,rest,rest,rest,True
grabmyo-S012-D2-rest-T03,12,2,rest,rest,rest,True
grabmyo-S012-D2-rest-T04,12,2,rest,rest,rest,True
grabmyo-S012-D2-rest-T05,12,2,rest,rest,rest,True
grabmyo-S012-D2-rest-T06,12,2,rest,rest,rest,True
grabmyo-S012-D2-rest-T07,12,2,rest,rest,rest,True
grabmyo-S012-D2-wrist_extension-T01,12,2,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D2-wrist_extension-T02,12,2,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D2-wrist_extension-T03,12,2,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D2-wrist_extension-T04,12,2,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D2-wrist_extension-T05,12,2,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D2-wrist_extension-T06,12,2,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D2-wrist_extension-T07,12,2,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D2-wrist_flexion-T01,12,2,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D2-wrist_flexion-T02,12,2,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D2-wrist_flexion-T03,12,2,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D2-wrist_flexion-T04,12,2,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D2-wrist_flexion-T05,12,2,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D2-wrist_flexion-T06,12,2,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D2-wrist_flexion-T07,12,2,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D3-hand_close-T01,12,3,hand_close,hand_close,hand_close,True
grabmyo-S012-D3-hand_close-T02,12,3,hand_close,hand_close,hand_close,True
grabmyo-S012-D3-hand_close-T03,12,3,hand_close,hand_close,hand_close,True
grabmyo-S012-D3-hand_close-T04,12,3,hand_close,hand_close,hand_close,True
grabmyo-S012-D3-hand_close-T05,12,3,hand_close,hand_close,hand_close,True
grabmyo-S012-D3-hand_close-T06,12,3,hand_close,hand_close,hand_close,True
grabmyo-S012-D3-hand_close-T07,12,3,hand_close,hand_close,hand_close,True
grabmyo-S012-D3-rest-T01,12,3,rest,rest,rest,True
grabmyo-S012-D3-rest-T02,12,3,rest,rest,rest,True
grabmyo-S012-D3-rest-T03,12,3,rest,rest,rest,True
grabmyo-S012-D3-rest-T04,12,3,rest,rest,rest,True
grabmyo-S012-D3-rest-T05,12,3,rest,rest,rest,True
grabmyo-S012-D3-rest-T06,12,3,rest,rest,rest,True
grabmyo-S012-D3-rest-T07,12,3,rest,rest,rest,True
grabmyo-S012-D3-wrist_extension-T01,12,3,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D3-wrist_extension-T02,12,3,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D3-wrist_extension-T03,12,3,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D3-wrist_extension-T04,12,3,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D3-wrist_extension-T05,12,3,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D3-wrist_extension-T06,12,3,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D3-wrist_extension-T07,12,3,wrist_extension,wrist_extension,wrist_extension,True
grabmyo-S012-D3-wrist_flexion-T01,12,3,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D3-wrist_flexion-T02,12,3,wrist_flexion,wrist_flexion,wrist_flexion,True
grabmyo-S012-D3-wrist_flexion-T03,12,3,wrist_flexion,wrist_flexion,wrist_flexion,True
