database_or_site,exact_query,search_date,records_screened,inclusion_reason,exclusion_reason,duplicate_status,full_text_availability,final_decision
Internal SSOT,Day 26 Workstream 8 reproducibility model governance deployment constraints,2026-07-27,9 internal artifacts,Lock project scope and terminology,Not used as external scientific evidence,Deduped by artifact,Yes,INCLUDE_AS_SSOT
MLflow official docs,MLflow backend store artifact store local SQLite model registry,2026-07-27,8 official pages,"Architecture, metadata/artifact separation, registry behavior",Blogs and old mirrors,Deduped,Yes,INCLUDE
scikit-learn official docs,scikit-learn model persistence pickle joblib ONNX arbitrary code version compatibility,2026-07-27,6 official pages,Security and compatibility decision,Third-party tutorials,Deduped,Yes,INCLUDE
scikit-learn official docs,scikit-learn controlling randomness random_state reproducibility,2026-07-27,4 official pages,Seed policy,Generic blogs,Deduped,Yes,INCLUDE
scikit-learn official docs,scikit-learn parallelism joblib OpenMP BLAS thread variables,2026-07-27,4 official pages,Threading/BLAS policy,Non-official summaries,Deduped,Yes,INCLUDE
NumPy official docs,NumPy SeedSequence spawn independent reproducible streams,2026-07-27,4 official pages,Named seed-stream design,Legacy RandomState-only examples,Deduped,Yes,INCLUDE
Astral uv official docs,uv lock check sync frozen run locked reproducible project,2026-07-27,5 official pages,Dependency-lock controls,Package-manager comparison blogs,Deduped,Yes,INCLUDE
Python official release,Python 3.13.14 release,2026-07-27,2 official records,Exact reference version,Unofficial mirrors,Deduped,Yes,INCLUDE
PyPI / official package records,NumPy 2.5.1 SciPy 1.18.0 scikit-learn 1.9.0 MLflow 3.14.0 uv 0.11.32,2026-07-27,10 package records,Exact version lock and release dates,Search snippets without package record,Deduped,Yes,INCLUDE
ONNX Runtime official docs,ONNX Runtime Python inference threading security sandbox,2026-07-27,5 official pages,Conditional runtime deployment controls,Benchmark marketing without methodology,Deduped,Yes,INCLUDE
NIST,NIST AI RMF Playbook Govern Map Measure Manage,2026-07-27,4 official pages,"Governance, oversight, lifecycle control",Secondary summaries,Deduped,Yes,INCLUDE
NIST,FIPS 180-4 SHA-256 secure hash standard,2026-07-27,3 official pages,Hash algorithm anchor,Non-standard hash tutorials,Deduped,Yes,INCLUDE
BMJ / EQUATOR,TRIPOD+AI statement transparent reporting prediction models AI,2026-07-27,4 primary/official records,Reporting completeness and prespecification,Commentary and mirrors,Deduped,Yes,INCLUDE
ACM / original paper,Model Cards for Model Reporting Mitchell 2019,2026-07-27,3 records,Model-card requirements,Blog summaries,Deduped,Yes,INCLUDE
Creative Commons official,CC BY 4.0 legal code CC BY-NC 4.0 legal code,2026-07-27,4 official pages,Attribution and non-commercial license implications,License explainer blogs,Deduped,Yes,INCLUDE
Open Data Commons official,ODC Attribution License 1.0,2026-07-27,2 official pages,Database attribution/license gate,Non-official summaries,Deduped,Yes,INCLUDE
