dataset_id,canonical_name,category,access_class,license_class,license_text,evidence_status,operational_decision,source_reports,last_checked
GRABMYO_V1_1,GRABMyo,PRIORITY_FREE_CORE,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,CC BY 4.0,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,GO_FOR_DATA_ENGINEERING; do not freeze gesture count until canonical page inspected,S1;S3;S4,2026-07-24
GRABMYOFLOW_V1_0,GRABMyoFlow,PRIORITY_FREE_CONDITIONAL,FREE_OPEN_NO_REGISTRATION,LICENSE_AMBIGUOUS,CC BY 4.0 in one report; detail not deeply verified in another,CONFLICTING,GO_AFTER_LICENSE_PAGE_CAPTURE,S2;S4,2026-07-24
HYSER,Hyser,PRIORITY_FREE_CORE,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,ODC-BY 1.0,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,GO_FOR_DATA_ENGINEERING_AND_RESEARCH_BRANCH,S1;S3;S4,2026-07-24
CERQUEIRA_FATIGUE,A Dataset of sEMG and Self-Perceived Fatigue Levels for Muscle Fatigue Analysis,PRIORITY_FREE_CORE,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,CC BY 4.0,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,GO_FOR_TASK_B_DATA_CONTRACT,S2;S4,2026-07-24
MENDELEY_4CH_GESTURE,Dataset for multi-channel surface electromyography signals of hand gestures,PRIORITY_FREE_CORE,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,CC BY 4.0,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,GO_FOR_LABEL_MAPPER_AND_SPARSE_ADAPTER,S4,2026-07-24
LUCCHETTI_POST_STROKE_KIN_EMG,A Kinematic and EMG Dataset for Upper Limb and Hand Movement Analysis in Post-Stroke and Healthy Subjects,PRIORITY_FREE_CORE,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,CC BY 4.0 on FigShare according to report,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,GO_FOR_TASK_C_METRIC_PROVENANCE,S4,2026-07-24
MENDELEY_POST_STROKE_REACHING,Post-stroke reaching sEMG dataset,PRIORITY_FREE_CORE,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,CC BY 4.0,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,GO_AFTER_CANONICAL_RECORD_ID_CAPTURE,S1;S2,2026-07-24
PUTEMG,putEMG,USEFUL_RESEARCH_ONLY,FREE_OPEN_NO_REGISTRATION,NONCOMMERCIAL_ONLY,CC BY-NC 4.0; scripts MIT,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,RESEARCH_ONLY; EXCLUDE_FROM_COMMERCIAL_REUSE_PATH,S1;S3;S4,2026-07-24
PHYSIOMIO,PhysioMio,RESTRICTED_REFERENCE,FREE_WITH_DUA_OR_APPLICATION,CUSTOM_AGREEMENT_REQUIRED,Custom DUA; research use; redistribution prohibited,REPOSITORY_AND_PEER_REVIEWED_VERIFIED_IN_SOURCE_REPORT,REFERENCE; DO_NOT_DOWNLOAD_WITHOUT_DUA_IRB,S1;S2;S4,2026-07-24
PHYSIONET_HAND_KINEMATICS_SEMG,Hand kinematics and HD-sEMG dataset,RESTRICTED_REFERENCE,FREE_WITH_DUA_OR_APPLICATION,CUSTOM_AGREEMENT_REQUIRED,PhysioNet Restricted Health Data Use Agreement 1.5.0,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,REFERENCE_ONLY_UNTIL_DUA,S4,2026-07-24
