source_id,uploaded_filename,size_bytes,sha256,canonical_pack_path
protocol,Day 26 Research Protocol và Governance Framework cho sEMG Clinical Intelligence(9).md,48010,c3dbff8c1fcfd4fa01208dfb872162e5d6ed8e2f7939b8ff3d67be70cd8c9bfe,docs/research/day26/00-research-protocol.md
features,Day 26 sEMG Clinical Intelligence Feature Engineering Review(8).md,66250,a486afe21924ae1217d282515636cdafb65bf7f531036211f86799484a4a8e20,docs/research/day26/02-feature-engineering-review.md
models,Classical Model Candidate Review cho Day 26 sEMG Clinical Intelligence(6).md,59009,22fa2a3543fbb2c4b8624e73041132c1b7b9ca3ccda455697223e44a983571e5,docs/research/day26/03-classical-model-candidate-review.md
validation,Day 26 Validation and Leakage Review for sEMG Clinical Intelligence(5).md,67774,96a3a225e6d1fdacb5d00d42f000db032e3581284ea59ffd28df56474a1fce36,docs/research/day26/04-validation-and-leakage-review.md
personalization,Day 26 Personalization và Adaptation Strategy cho sEMG Clinical Intelligence(4).md,57492,ef09451684b59a57005c32a4c7a257dfcf33081cd384eb7c7359cf51391b5b59,docs/research/day26/05-personalization-and-adaptation-strategy.md
fatigue,Day 26 sEMG Clinical Intelligence về fatigue-induced distribution shift và experiment blueprint(1).md,57197,85ba859a23709cae6711eeedd78888a3b7cc0a8e359e827f15943d17ccc91795,docs/research/day26/06-fatigue-distribution-shift-blueprint.md
metrics,08-metrics-calibration-abstention(3).md,66949,51682a039bc53a793140d85f230720ef58bc26b78178624eca879e75b3d30c15,docs/research/day26/08-metrics-calibration-abstention.md
governance,09-reproducibility-and-governance(1).md,41267,ea02e8106900df5ff927b63f902ca9885e62b6aa873fb3e7c2894e64edc3b34f,docs/research/day26/09-reproducibility-and-governance.md
eval_yaml,evaluation_regimes.research(3).yaml,26933,a34d832d885d19a6bfe7bd6887e6e8169a56f7d47fbc459563e1c2b093a85759,ai-core/configs/evaluation_regimes.research.yaml
tracking,experiment-tracking-spec(1).md,12253,3d582a515930e181cea584616322e9b7d981fc32f87923e065728fd2275c3e9d,docs/09-mlops-devops/experiment-tracking-spec.md
eval_plan,gesture-model-evaluation-plan(4).md,22725,a6b10f585127ceb21504344dc3e3cf7cf743e1c9e4a20df46b46cdb05ff1cbf3,docs/08-validation-qa/gesture-model-evaluation-plan.md
registry,model-registry-spec(1).md,17528,118aa4246687667a2301d25548e17d54559e5e354bcec705c119fbd886c3638c,docs/09-mlops-devops/model-registry-spec.md
repro,reproducible-training-policy(1).md,17348,32a0a76cff32eca70e39bafd4612136e04d03118dafca3c2c1e586dcedca49ad,docs/09-mlops-devops/reproducible-training-policy.md
