dimension,grabmyo_value,mendeley_value,gap_severity,mitigation,status
channel_count,"32 (16 forearm + 12 wrist + 4 unused), VERIFIED","4 (theo mô tả paper, field-dictionary.csv của Mendeley còn PENDING_INSPECTION vì chưa có file thật)",HIGH,"Adapter chọn 4/32 kênh forearm cách đều (F1/F5/F9/F13) thành CH01-CH04, xem canonical-mapping-draft.yaml + notebooks/grabmyo_to_canonical_mendeley_schema.ipynb",MITIGATED_VIA_ADAPTER
sampling_rate,"2048 Hz, VERIFIED (record.fs thật, đồng nhất qua toàn bộ record đã scan)","PENDING (domain-gap-matrix.csv gốc của Mendeley ghi PENDING, chưa có file thật để đo)",HIGH,"Không resample cho tới khi fs thật của Mendeley được xác minh (CANONICAL_TARGET_FS=null trong adapter GRABMyo hiện tại) - nếu không xử lý, model sẽ học nhầm đặc trưng phổ tần do khác fs khi gộp 2 nguồn",BLOCKED_ON_MENDELEY_REAL_DATA
signal_unit,"mV, VERIFIED (record.units thật)","uV kỳ vọng theo mô tả paper (PENDING_INSPECTION, chưa verify từ file thật)",LOW,"Quy đổi tuyến tính đơn giản (x1000 mV->uV) đã cài trong adapter, không mất thông tin - miễn đơn vị thật của Mendeley đúng như kỳ vọng",MITIGATED_VIA_ADAPTER
electrode_type,"Ambu AM-N00S/E, monopolar surface electrodes + biosignal amplifier (VERIFIED, trang PhysioNet)","BIOPAC MP36, Ag/AgCl bipolar surface electrodes (VERIFIED trong dataset-source-record.yaml của Mendeley)",MEDIUM,"Monopolar vs bipolar referencing có thể tạo lệch biên độ/nhiễu nền hệ thống khác nhau - khuyến nghị chuẩn hoá per-channel (z-score hoặc min-max theo từng subject) trước khi gộp, KHÔNG gộp trực tiếp biên độ thô giữa 2 nguồn",ACKNOWLEDGED_RISK
electrode_placement_anatomy,"Forearm ring 1/2 (8+8 kênh) + wrist ring 1/2 (6+6 kênh), vị trí tương đối đã biết (VERIFIED, trang PhysioNet)",Vị trí điện cực bipolar cụ thể trên cẳng tay CHƯA được mô tả bằng dữ liệu/hình ảnh thật (PENDING - Mendeley chưa tải),MEDIUM_HIGH,Không thể verify tương đồng giải phẫu giữa 4 kênh canonical (chọn từ forearm ring GRABMyo) với 4 kênh thật của Mendeley cho tới khi Mendeley có dữ liệu/hình ảnh paper thật để đối chiếu - đây là rủi ro lớn nhất cho việc gộp ở mức tín hiệu thô,UNVERIFIED_RISK
gesture_vocabulary_coverage,"5/5 nhãn canonical (rest, hand_open, hand_close, wrist_flexion, wrist_extension) đều CONFIRMED - xem label-dictionary.yaml",4/5 nhãn canonical CONFIRMED (thiếu hand_open) - xem label-dictionary.yaml của Mendeley,NONE,"GRABMyo là superset về nhãn - gộp giúp bù lớp hand_open cho toàn bộ tập, nhưng lớp này khi đó chỉ đến từ 1 nguồn (domain bias tiềm ẩn cho riêng lớp hand_open, cần kiểm soát khi split train/test)",GRABMYO_SUPERSET
subject_count,"43 người khoẻ mạnh (23 nam/20 nữ, 24-35 tuổi), VERIFIED (participant existence 1-43 confirmed qua header scan thật)","40 người khoẻ mạnh, giới tính cân bằng (VERIFIED trong dataset-source-record.yaml của Mendeley, theo mô tả tác giả)",NONE,"Gộp làm tăng đa dạng subject (43+40=83 subject tối đa) - không có xung đột, chỉ cần đảm bảo subject_id không trùng khi gộp (thêm prefix nguồn, ví dụ GRABMYO_p07 vs MENDELEY_p07)",COMPATIBLE
session_structure,"3 ngày đo riêng biệt (multi-day), VERIFIED","Single-session (domain-gap-matrix.csv gốc của Mendeley: fatigue_protocol NONE, không đề cập multi-day; cross_day: PENDING - cần Mendeley xác nhận lại)",MEDIUM,"GRABMyo hỗ trợ cross-day evaluation, Mendeley (nếu đúng là single-session) thì không. Khi gộp, chỉ dùng GRABMyo cho đánh giá robustness theo ngày, không kỳ vọng điều tương tự ở Mendeley",PENDING_MENDELEY_VERIFICATION
repetitions_per_gesture,"7 trial/gesture/session, VERIFIED (full grid scan 3 participant mẫu)",5 lần lặp/gesture (VERIFIED trong dataset-source-record.yaml của Mendeley),LOW,Số lần lặp khác nhau không cản trở gộp - mỗi trial vẫn là 1 sample độc lập ở mức window/feature,COMPATIBLE
file_format_access,"WFDB streaming qua PhysioNet (.dat/.hea), không tải archive","CSV trong archive tải về (kỳ vọng theo data-hierarchy.yaml của Mendeley, còn PENDING_EXTRACTION)",LOW,"Khác pipeline nạp dữ liệu nhưng đã cô lập bằng adapter riêng cho từng nguồn - cả 2 đều xuất ra cùng 1 canonical CSV schema (CH01-CH04, uV, nhãn canonical) nên bước train phía sau dùng chung code",MITIGATED_VIA_ADAPTER
