row_key,business_need,prd_reference,srs_requirement,requirement_type,requirement_text,evidence_status,implementation_status,roadmap_day,target_artifact,verification_method,acceptance_evidence,safety_critical,open_questions
FR-001,PRD-NEED-01,PRD-NEED-01,FR-001,FUNCTIONAL,Hệ thống phải ingest được Noraxon MR4 single CSV có metadata header và bảng time-series.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_09;DAY_16;DAY_19;DAY_20;DAY_60;DAY_82;DAY_90,"{'title': 'Noraxon Single-CSV Golden Contract', 'outputs': ['data-platform/contracts/noraxon/mr4-single-csv.schema.yaml', 'data-platform/contracts/noraxon/mr4-single-csv-examples.md', 'qa-validation/test-data/golden/noraxon/single_csv/README.md']};{'title': 'MR4 Single-CSV Parser Implementation', 'outputs': ['services/signal-ingestion-service/src/adapters/noraxon_single_csv.py', 'qa-validation/automated-tests/ingestion/test_noraxon_single_csv.py']};{'title': 'Ingestion Integration: Cross-Rate, Failure Safety & Provenance', 'outputs': ['services/signal-ingestion-service/src/application/ingest_session.py', 'qa-validation/automated-tests/integration/test_ingestion_e2e.py', 'docs/05-data/ingestion-failure-taxonomy.md']};{'title': 'Real Data Contract Freeze & GATE B', 'outputs': ['data-platform/contracts/noraxon/contract-freeze-v1.0.md', 'qa-validation/validation-reports/ingestion-real-data-validation-v1.0.md', 'docs/00-executive/gates/GATE-B-real-data-readiness.md']};{'title': 'Offline Copilot End-to-End Integration — M4', 'outputs': ['scripts/run_motionlab_offline_copilot.py', 'qa-validation/automated-tests/integration/test_offline_copilot_e2e.py', 'docs/00-executive/milestones/M4-offline-copilot-e2e.md']};{'title': 'Parser & Data-Integrity Validation on Locked Real Data', 'outputs': ['qa-validation/validation-reports/retrospective-ingestion-validation-v1.0.md', 'ai-core/metrics/ingestion_metrics.v1.0.json', 'scripts/validate_locked_ingestion.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",GOLDEN_FILE_TEST;SCHEMA_TEST;CORRUPTED_FILE_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-002,PRD-NEED-01,PRD-NEED-01,FR-002,FUNCTIONAL,Hệ thống phải ingest được Noraxon MR4 separated export gồm info.csv và các signal files độc lập.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_10;DAY_17;DAY_90,"{'title': 'Noraxon Separated-CSV + info.csv Golden Contract', 'outputs': ['data-platform/contracts/noraxon/mr4-separated.schema.yaml', 'data-platform/contracts/noraxon/mr4-signal-file.schema.yaml', 'qa-validation/test-data/golden/noraxon/separated_csv/README.md']};{'title': 'MR4 Separated-CSV Parser Implementation', 'outputs': ['services/signal-ingestion-service/src/adapters/noraxon_separated_csv.py', 'qa-validation/automated-tests/ingestion/test_noraxon_separated_csv.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",GOLDEN_FILE_TEST;SCHEMA_TEST;CORRUPTED_FILE_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-003,PRD-NEED-01,PRD-NEED-01,FR-003,FUNCTIONAL,"Parser phải đọc metadata từng signal: type, name, begin_time, frequency, count, units nếu tồn tại.",VERIFIED_DOCUMENTED,IDENTIFIED,DAY_65;DAY_90,"{'title': 'Pressure Canonical Contract & Ingestion', 'outputs': ['packages/common-schemas/json/pressure-signal.schema.json', 'services/signal-ingestion-service/src/normalization/pressure_mapper.py', 'qa-validation/automated-tests/pressure/test_pressure_ingestion.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",METADATA_CONTRACT_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-004,PRD-NEED-01,PRD-NEED-01,FR-004,FUNCTIONAL,Parser không được giả định mọi signal trong cùng record có cùng sampling rate.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_13;DAY_15;DAY_29;DAY_90,"{'title': 'Unit / Time / Count / Sampling Validation Engine', 'outputs': ['services/signal-ingestion-service/src/validation/time_count_unit.py', 'data-platform/contracts/unit-registry.v0.1.yaml', 'qa-validation/automated-tests/ingestion/test_time_count_unit.py']};{'title': 'Corrupted Fixture Factory for Data Contracts', 'outputs': ['qa-validation/test-data/synthetic/generators/noraxon_corruption_factory.py', 'qa-validation/test-data/golden/noraxon/corrupted/manifest.yaml', 'qa-validation/automated-tests/ingestion/test_corrupted_fixtures.py']};{'title': 'Data-QC Integration: Timestamp, Unit & Multimodal Sync Failure', 'outputs': ['services/quality-gate-service/src/detectors/data_integrity.py', 'packages/common-schemas/json/qc-data-quality-codes.schema.json', 'qa-validation/automated-tests/qc/test_data_integrity_qc.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",MULTIRATE_FIXTURE_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-005,PRD-NEED-01,PRD-NEED-01,FR-005,FUNCTIONAL,Hệ thống phải kiểm tra time tăng đơn điệu và metadata count khớp số dòng khi có thể.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",TIME_COUNT_VALIDATION_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-006,PRD-NEED-01,PRD-NEED-01,FR-006,FUNCTIONAL,Hệ thống phải phân biệt và lưu đơn vị V/uV; mọi conversion phải có provenance.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",UNIT_CONVERSION_PROVENANCE_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-007,PRD-NEED-01,PRD-NEED-01,FR-007,FUNCTIONAL,Raw layer phải giữ nguyên missing values; không tự nội suy.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_11;DAY_90,"{'title': 'Immutable Raw, Source Hashing & SourceRecord Ledger', 'outputs': ['packages/common-schemas/json/source-record.schema.json', 'data-platform/storage/raw-immutability-policy.md', 'services/signal-ingestion-service/src/provenance/source_ledger.py']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",RAW_IMMUTABILITY_TEST,Versioned test/evidence artifact produced on planned day,true,
FR-008,PRD-NEED-01,PRD-NEED-01,FR-008,FUNCTIONAL,Mỗi file nguồn phải có checksum/hash và source identifier.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_90,"{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",HASH_LEDGER_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-009,PRD-NEED-01,PRD-NEED-01,FR-009,FUNCTIONAL,Hệ thống phải hỗ trợ Vicon stacked-section parser cho Events/Devices/Model Outputs/Trajectories khi use case yêu cầu.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_18;DAY_75;DAY_90,"{'title': 'Minimal Optional Vicon Stacked-Section Parser', 'outputs': ['services/signal-ingestion-service/src/adapters/vicon_stacked_csv.py', 'data-platform/contracts/vicon/stacked-sections.v0.1.yaml', 'qa-validation/automated-tests/ingestion/test_vicon_stacked_csv.py']};{'title': 'DR-K04 — Vicon Version, Model, Marker Set & Coordinate Convention Audit', 'outputs': ['clinical/knee-discovery/DR-K04-vicon-model-audit.md', 'data-platform/contracts/vicon/coordinate-convention-evidence.yaml', 'ai-core/notebooks/knee_coordinate_diagnostic.ipynb']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",STACKED_SECTION_FIXTURE_TEST,Versioned test/evidence artifact produced on planned day,false,
FR-010,PRD-NEED-01,PRD-NEED-01,FR-010,FUNCTIONAL,Không được hard-code mapping X/Y/Z sang mặt phẳng giải phẫu nếu model/coordinate convention chưa xác nhận.,VERIFIED_DOCUMENTED,IDENTIFIED,DAY_48;DAY_80;DAY_90,"{'title': 'Activation-Timing Eligibility — Conditional Capability', 'outputs': ['services/feature-extraction-service/src/metrics/activation_timing.py', 'configs/metrics/activation-timing-policy.v0.1.yaml', 'qa-validation/automated-tests/metrics/test_activation_timing.py']};{'title': 'Knee/ACL Root-Cause Decision — GATE F / M7', 'outputs': ['docs/00-executive/gates/GATE-F-knee-root-cause.md', 'docs/00-executive/milestones/M7-knee-discovery-decision.md', 'clinical/knee-discovery/knee-decision-record.v1.0.md']};{'title': 'Final Readiness Review — GATE FINAL / M9', 'outputs': ['docs/00-executive/gates/FINAL-readiness-decision.md', 'docs/00-executive/milestones/M9-controlled-pilot-readiness.md', 'docs/00-executive/rebaseline/day90-evidence-index.md']}",COORDINATE_CONVENTION_GATE_TEST,Versioned test/evidence artifact produced on planned day,true,
