gap_id,gap,severity,why_it_matters,measurement,mitigation,residual_risk,owner,decision_gate
DG01,healthy public cohort → stroke rehabilitation,critical,"co-contraction,spasticity,tremor,weak activation and rapid fatigue change signal distribution",external validation on stroke cohort; severity-stratified metrics,public data only for engineering; local clinical protocol later,high until patient validation,Clinical AI Lead,Clinical Data Gate
DG02,public device/electrode layout → Noraxon Ultium site,critical,"channel geometry, gain, units and placement drive feature distribution",actual de-identified export + channel map,adapter-specific mapping and calibration,high,Motion Lab + Signal Lead,Site Interface Gate
DG03,HD-sEMG arrays → sparse bipolar sensors,high,spatial patterns and MFCV methods may not transfer,channel ablation/downsampling study after data access,separate research branch from deployment branch,medium-high,Signal Lead,Hardware Compatibility Gate
DG04,fixed cue healthy gestures → impaired voluntary attempt,critical,label timing and intention are uncertain in stroke,video/KTV adjudication and cue-event provenance,unknown/ambiguous labels and human review,high,Clinical Lead,Label Quality Gate
DG05,short laboratory trials → prolonged rehabilitation with fatigue,high,model drift under fatigue may dominate real use,time-stratified and fatigue-stratified performance,"fatigue context layer, confidence reduction, abstention",medium-high,ML/Signal Lead,Fatigue Robustness Gate
DG06,same-session → cross-session/day,critical,electrode reattachment and skin conditions cause drift,cross-day holdout and reattachment protocol,short per-session calibration and group-aware validation,high,ML Lead,Cross-Session Gate
DG07,fixed electrode placement → daily reattachment/electrode shift,critical,accuracy can collapse despite good within-session score,planned electrode-shift tests,"placement SOP, calibration, abstention",high,Motion Lab + ML Lead,Electrode Shift Gate
DG08,public dataset labels → clinician-reviewed labels,high,cue labels may not equal actual attempted/performed movement,reviewer agreement and adjudication,append-only correction + independent adjudication,medium-high,Clinical Review Owner,Training Label Gate
DG09,unilateral public data → bilateral symmetry metrics,high,symmetry cannot be fabricated without comparable reference side,same-protocol bilateral acquisition,return not_available until bilateral data exists,medium,UC2 Lead,UC2 Compatibility Gate
DG10,public metadata → field-level MR3 site export,critical,parser and provenance cannot be frozen without actual schema,"inspect rest, five-gesture, processed and synchronized exports",logical contract stays draft; site evidence pack,high,Backend + Motion Lab,Actual Export Gate
