id,task,hypothesis,feature_group,model,regime,personalization,fatigue_architecture,primary_metric,result_status
E-A00,TaskA,dummy_majority_floor,F0,dummy_majority,cross_subject_zero_shot,none,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-A01,TaskA,dummy_stratified_floor,F0,dummy_stratified,cross_subject_zero_shot,none,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-A02,TaskA,lda_sparse_core,F1,lda,cross_subject_zero_shot,none,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-A03,TaskA,logistic_sparse_core,F1,logistic_regression,cross_subject_zero_shot,none,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-A04,TaskA,linear_svm_sparse_core,F1,linear_svm,cross_subject_zero_shot,none,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-A05,TaskA,rf_frequency_extension,F2,random_forest,cross_subject_zero_shot,none,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-A06,TaskA,lda_cross_session,F1,lda,cross_session,none,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-A07,TaskA,lda_cross_day,F1,lda,cross_day,none,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-A08,TaskA,electrode_reapply_robustness,F1,lda,electrode_remove_and_replace,P0,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-P00,TaskA,normalization_only_fallback,F1,lda,personalized_new_subject,P0,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-P01,TaskA,few_shot_2_reps,F1,lda,personalized_new_subject,P1_2_reps,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-P02,TaskA,few_shot_3_reps,F1,lda,personalized_new_subject,P1_3_reps,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-P03,TaskA,few_shot_5_reps_saturation,F1,lda,personalized_new_subject,P1_5_reps,E-FATIGUE-0,subject_macro_repetition_macro_f1,NOT_RUN
E-F00,TaskB,no_fatigue_adjustment,F2,selected_task_a_candidate,fatigue_stratified,none,E-FATIGUE-0,coverage_selective_risk_bundle,NOT_RUN
E-F01,TaskB,fatigue_features_in_predictor,F3,selected_task_a_candidate,fatigue_stratified,none,E-FATIGUE-1,coverage_selective_risk_bundle,NOT_RUN
E-F02,TaskB,posthoc_confidence_adjustment,F3,selected_task_a_candidate,fatigue_stratified,none,E-FATIGUE-2,coverage_selective_risk_bundle,NOT_RUN
E-F03,TaskB,supportability_abstention_engine,F3,context_engine,unsupported_unknown_abstention,none,E-FATIGUE-3,unsafe_prediction_rate,NOT_RUN
E-F04,TaskB,governed_recalibration,F3,selected_task_a_candidate,personalized_new_subject,P1_3_reps,E-FATIGUE-4,coverage_selective_risk_bundle,NOT_RUN
E-C00,TaskC,repeatability_metric_reproducibility,F1,metric_engine,cross_session,none,none,metric_repeatability,NOT_RUN
E-C01,TaskC,symmetry_compatibility,F4,metric_engine,cross_session,none,none,metric_compatibility,NOT_RUN
E-C02,TaskC,co_contraction_missing_mapping_behavior,F4,metric_engine,cross_session,none,none,missing_data_safety,NOT_RUN
E-C03,TaskC,endurance_context_without_mfcv,F3,metric_engine,fatigue_stratified,none,E-FATIGUE-3,metric_repeatability,NOT_RUN
