dataset_id,canonical_name,category,task_a_fit,task_b_fit,task_c_fit,access_class,license_class,license_text,population,subjects,sessions_days,channels,sampling_rate_hz,format,cross_session,fatigue_context,clinical_relevance,mfcv_eligibility,evidence_status,conflict_flag,operational_decision,source_reports,last_checked
GRABMYO_V1_1,GRABMyo,PRIORITY_FREE_CORE,strong,weak_proxy,partial_repeatability,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,CC BY 4.0,healthy,43,3 days,32 reported; forearm/wrist configuration,2048,WFDB .dat/.hea reported,yes,no direct fatigue label,engineering baseline only,NOT_VERIFIED,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,gesture count 16 vs 17 across reports,GO_FOR_DATA_ENGINEERING; do not freeze gesture count until canonical page inspected,S1;S3;S4,2026-07-24
GRABMYOFLOW_V1_0,GRABMyoFlow,PRIORITY_FREE_CONDITIONAL,strong_dynamic_transitions,weak_proxy,partial_robustness,FREE_OPEN_NO_REGISTRATION,LICENSE_AMBIGUOUS,CC BY 4.0 in one report; detail not deeply verified in another,healthy,20 extension; 63 across GRABMyo family reported,multi-day reported,wrist recordings; exact contract to verify,TO_VERIFY,PhysioNet-style reported,yes,no direct clinical fatigue label,transition/segmentation robustness,NOT_VERIFIED,CONFLICTING,license certainty and exact cohort semantics,GO_AFTER_LICENSE_PAGE_CAPTURE,S2;S4,2026-07-24
HYSER,Hyser,PRIORITY_FREE_CORE,strong_hd_semg,moderate_proxy_mvc_force,strong_metric_support,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,ODC-BY 1.0,healthy,20,2 days,256 HD-sEMG,2048,WFDB .dat/.hea + labels,yes,MVC/force support; not direct fatigue labels,HD spatial/force contract and repeatability,DATASET_LEVEL_RESEARCH_ONLY; site not implied,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,none material for Day25,GO_FOR_DATA_ENGINEERING_AND_RESEARCH_BRANCH,S1;S3;S4,2026-07-24
CERQUEIRA_FATIGUE,A Dataset of sEMG and Self-Perceived Fatigue Levels for Muscle Fatigue Analysis,PRIORITY_FREE_CORE,weak,very_strong_public_proxy,partial_endurance,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,CC BY 4.0,healthy,13,TO_VERIFY,8 muscles,1259,CSV raw sEMG + time-stamped fatigue labels,not established,self-perceived fatigue 0–2,Task B engineering; not stroke transfer,NO,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,none material; do not confuse with other Zenodo fatigue records,GO_FOR_TASK_B_DATA_CONTRACT,S2;S4,2026-07-24
MENDELEY_4CH_GESTURE,Dataset for multi-channel surface electromyography signals of hand gestures,PRIORITY_FREE_CORE,very_strong_label_overlap,weak,weak,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,CC BY 4.0,healthy,40,single-session or TO_VERIFY,4,TO_VERIFY,TO_VERIFY from data dictionary,no evidence,none,closest public sparse label vocabulary,NO,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,hand_open/hand_close mapping must not be assumed from grip classes,GO_FOR_LABEL_MAPPER_AND_SPARSE_ADAPTER,S4,2026-07-24
LUCCHETTI_POST_STROKE_KIN_EMG,A Kinematic and EMG Dataset for Upper Limb and Hand Movement Analysis in Post-Stroke and Healthy Subjects,PRIORITY_FREE_CORE,weak,weak,very_strong,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,CC BY 4.0 on FigShare according to report,10 healthy + 10 post-stroke reported,20 reported,TO_VERIFY,24 wireless EMG across 12 muscles per limb reported,TO_VERIFY,MAT reported,TO_VERIFY,not primary,"symmetry,co-contraction,reference similarity,kinematics",NO SITE INFERENCE,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,do not merge with separate Mendeley post-stroke reaching record,GO_FOR_TASK_C_METRIC_PROVENANCE,S4,2026-07-24
MENDELEY_POST_STROKE_REACHING,Post-stroke reaching sEMG dataset,PRIORITY_FREE_CORE,weak,weak,strong,FREE_OPEN_NO_REGISTRATION,COMMERCIAL_USE_PERMITTED,CC BY 4.0,12 healthy + 13 post-stroke reported,25 reported,TO_VERIFY,8 muscles shoulder/arm,TO_VERIFY,TO_VERIFY,TO_VERIFY,not primary,rehabilitation metric baseline; not hand classifier,NO,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,may be separate from Lucchetti dataset; canonical DOI must be captured,GO_AFTER_CANONICAL_RECORD_ID_CAPTURE,S1;S2,2026-07-24
PUTEMG,putEMG,USEFUL_RESEARCH_ONLY,strong,weak_proxy,partial,FREE_OPEN_NO_REGISTRATION,NONCOMMERCIAL_ONLY,CC BY-NC 4.0; scripts MIT,healthy,44,repeated session reported,24,TO_VERIFY,HDF5/CSV,yes reported,force/MVC proxy in related assets,parser/continuous segmentation research,NO SITE INFERENCE,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,none; legal constraint is explicit,RESEARCH_ONLY; EXCLUDE_FROM_COMMERCIAL_REUSE_PATH,S1;S3;S4,2026-07-24
PHYSIOMIO,PhysioMio,RESTRICTED_REFERENCE,clinical_reference,weak,very_strong_longitudinal_stroke,FREE_WITH_DUA_OR_APPLICATION,CUSTOM_AGREEMENT_REQUIRED,Custom DUA; research use; redistribution prohibited,stroke patients,48,longitudinal rehabilitation sessions,64 HD-sEMG,2048,Parquet reported,yes,not primary,highest stroke longitudinal relevance in reviewed sources,DATASET_LEVEL_RESEARCH_ONLY,REPOSITORY_AND_PEER_REVIEWED_VERIFIED_IN_SOURCE_REPORT,none material; access governance is restrictive,REFERENCE; DO_NOT_DOWNLOAD_WITHOUT_DUA_IRB,S1;S2;S4,2026-07-24
PHYSIONET_HAND_KINEMATICS_SEMG,Hand kinematics and HD-sEMG dataset,RESTRICTED_REFERENCE,partial,weak,strong_multimodal,FREE_WITH_DUA_OR_APPLICATION,CUSTOM_AGREEMENT_REQUIRED,PhysioNet Restricted Health Data Use Agreement 1.5.0,TO_VERIFY,TO_VERIFY,TO_VERIFY,HD-sEMG forearm/wrist,TO_VERIFY,PhysioNet restricted record,TO_VERIFY,not primary,multimodal motion intent reference,DATASET_LEVEL_RESEARCH_ONLY,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,none material,REFERENCE_ONLY_UNTIL_DUA,S4,2026-07-24
