capability_id,capability,public_evidence_status,public_claim,site_evidence_status,site_risk,day25_decision,verification_action
NX01,Ultium receiver supports up to 16 wireless sensors,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,up to 16 sensors,NOT_VERIFIED_EXACT_MODEL,site description alone does not prove model/revision,record as vendor capability only,photo model/serial plate and inventory sheet
NX02,Selectable EMG sampling rate 2000/4000 Hz,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,brochure-level capability,NOT_VERIFIED,actual acquisition setting may differ,do not hard-code site Fs,capture acquisition settings + sample header
NX03,Local MR data storage/external database workflow,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,local storage and external location/database workflows reported,NOT_VERIFIED,version/path/encryption/retention unknown,"treat native record as L1, not assume file schema",capture MR version and database/export structure
NX04,Export to External Location / native Noraxon MR data,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,backup/share/import package workflow,NOT_VERIFIED,not necessarily flat raw sample format,do not build field parser around package without sample,obtain de-identified exported package tree
NX05,ASCII/CSV raw export,REPORTED_OFFICIAL_IN_DEEP_AUDIT,raw export to ASCII CSV reported,NOT_VERIFIED,version/module/columns/units unknown,candidate adapter only,export rest and five-gesture CSV from installed version
NX06,MATLAB export,REPORTED_OFFICIAL_IN_DEEP_AUDIT,MATLAB export reported,NOT_VERIFIED,structure and module dependency unknown,TO_VERIFY,capture export option and sample MAT
NX07,C3D export/integration,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,C3D and Vicon/plugin path reported,NOT_VERIFIED,markers/events/analog channels may vary,TO_VERIFY before ezc3d adapter,obtain synchronized C3D and mapping document
NX08,HTTP/third-party streaming,REPORTED_OFFICIAL_IN_DEEP_AUDIT,MR3 HTTP streaming or third-party sync reported,NOT_VERIFIED,exact version/license/payload unknown,not MVP dependency,"capture MR version, module and official endpoint/payload docs"
NX09,TTL synchronization,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,TTL sync input/workflow reported,NOT_VERIFIED,wiring and marker representation unknown,site sync contract remains draft,run known pulse test and inspect export markers
NX10,Vicon plugin,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,plugin/download listing exists,NOT_VERIFIED_INSTALLED_OR_LICENSED,installed version compatibility unknown,do not assume synchronized workflow,screenshot installed plugin/module and compatibility version
NX11,Native JSON export,NOT_VERIFIED,no trustworthy proof in four reports,NOT_VERIFIED,project JSON may be confused with vendor-native output,nativeJsonExportVerified=false,official documentation or actual native sample/API payload
NX12,Raw per-channel sEMG availability,REPORTED_OFFICIAL_IN_DEEP_AUDIT,raw export capability reported at vendor level,NOT_VERIFIED,installed module/settings may not expose required raw samples,critical blocker for site model training,actual de-identified raw export with units/Fs/channel map
NX13,Processed metrics/reports,OFFICIAL_VERIFIED_IN_SOURCE_REPORT,report workflows and metrics available by module,NOT_VERIFIED_INSTALLED_MODULES,report outputs may not preserve enough provenance,request one processed report export,capture installed reports/modules and sample output
NX14,MFCV eligibility,NOT_PROVABLE_FROM_SENSOR_COUNT,sampling capability alone does not prove eligibility,NOT_VERIFIED,fabricated CV if geometry/IED/order/fibre alignment absent,mfcvEligibilityVerified=false,linear array/IED/order/orientation/raw propagation/correlation evidence
