requirement_id,source_reference,registry_state_before,day02_contribution,measurement_or_workflow_link,target_artifact,verification_method,acceptance_evidence,open_questions,safety_critical
JTBD-01,PRD §6,FROZEN,REVALIDATED,workflow QC/re-measure decision context,clinical/workflows/motionlab-current-state.v0.1.md; clinical/studies/time-motion-observation-form.v0.1.yaml,WORKFLOW_DESIGN_REVIEW,DAY03 observation verifies actual sequence/action points,,false
JTBD-02,PRD §6,FROZEN,REVALIDATED,manual data-processing stages and automation candidates,clinical/workflows/motionlab-current-state.v0.1.md; clinical/studies/time-motion-study-protocol.v0.1.md,WORKFLOW_DESIGN_REVIEW,DAY03 captures current manual steps without changing them,OQ-004,false
JTBD-03,PRD §6,FROZEN,REVALIDATED,measurement fact kept separate from artifact/physiology inference,clinical/studies/time-motion-study-protocol.v0.1.md; clinical/studies/time-motion-observation-form.v0.1.yaml,SAFETY_SEMANTICS_REVIEW,No DAY02 field auto-labels pathology as noise/artifact,OQ-004,true
JTBD-04,PRD §6,FROZEN,REVALIDATED,uncertainty/exception points captured without forcing conclusions,clinical/workflows/motionlab-current-state.v0.1.md; clinical/studies/time-motion-observation-form.v0.1.yaml,WORKFLOW_DESIGN_REVIEW,Exception/rework/remeasure branches are representable,,true
JTBD-05,PRD §6,FROZEN,REVALIDATED,decision-context capture field designed; clinical interpretation separated,clinical/studies/time-motion-study-protocol.v0.1.md; clinical/studies/time-motion-observation-form.v0.1.yaml,USER_REVIEW_DESIGN,"DAY03 records which evidence/output is used, without inventing decision semantics",OQ-005,false
PRD-KPI-01,PRD §10,IDENTIFIED,DESIGNED,doctor post-acquisition data hands-on union time,clinical/studies/time-motion-study-protocol.v0.1.md; clinical/studies/time-motion-observation-form.v0.1.yaml,MEASUREMENT_CONTRACT_TEST,Primary endpoint designed; value remains NOT_MEASURED,OQ-002,false
PRD-KPI-02,PRD §10,IDENTIFIED,DESIGNED,full-manual-review case flag/context,clinical/studies/time-motion-observation-form.v0.1.yaml,MEASUREMENT_CONTRACT_TEST,Capture field exists; baseline remains TBD,OQ-002,false
PRD-KPI-03,PRD §10,IDENTIFIED,DESIGNED,remeasurement occurrence/episode/time/reason capture,clinical/studies/time-motion-study-protocol.v0.1.md; clinical/studies/time-motion-observation-form.v0.1.yaml,MEASUREMENT_CONTRACT_TEST,Rate not computed until observed numerator/denominator exist,OQ-003,false
PRD-KPI-04,PRD §10,IDENTIFIED,REVALIDATED,future QC KPI context only; operator issue/action evidence can be captured,clinical/studies/time-motion-study-protocol.v0.1.md,TRACEABILITY_REVIEW,No QC recall or threshold claim in DAY02,OQ-004,true
PRD-KPI-05,PRD §10,IDENTIFIED,REVALIDATED,future-state KPI preserved; no current copilot output exists,clinical/studies/time-motion-study-protocol.v0.1.md,TRACEABILITY_REVIEW,Not measured in DAY02,,false
PRD-KPI-06,PRD §10,IDENTIFIED,REVALIDATED,future abstention KPI preserved; uncertainty handling design only,clinical/studies/time-motion-study-protocol.v0.1.md,TRACEABILITY_REVIEW,Not measured in DAY02,,true
PRD-KPI-07,PRD §10,IDENTIFIED,REVALIDATED,product KPI preserved; DAY02 artifact provenance is versioned,clinical/studies/time-motion-study-protocol.v0.1.md; qa-validation/evidence/day02-artifact-manifest.json,TRACEABILITY_REVIEW,Not measured as product KPI in DAY02,,true
AC-10,SRS §17,IDENTIFIED,DESIGNED,measured-baseline comparison method prerequisite,clinical/studies/time-motion-study-protocol.v0.1.md; clinical/studies/time-motion-observation-form.v0.1.yaml,ACCEPTANCE_DESIGN_REVIEW,No baseline or official target is claimed; DAY03 is measurement round 1,OQ-002,false
