evidence_id,workstream,research_question,claim,decision_implication,source_title,source_type,authors,year,doi_or_official_url,population,n_subjects,clinical_or_healthy,muscle_or_anatomical_region,task_or_protocol,device,channel_count,electrode_geometry,n_sessions_or_days,window_length,overlap,feature_set,model,split_unit,validation_regime,metric,main_finding,limitations,project_transferability,evidence_status,reviewer_note
D26-INT-SCOPE,reproducibility_governance,What project locks constrain Workstream 8?,"Day 26 is blueprint-only, trainingAllowed=false, Tasks A/B/C remain separate, human review and inner-fold fitting are mandatory.",All manifests and examples must remain NOT_RUN and no model artifact may be created.,Day 26 Research Protocol and Governance Framework,INTERNAL_SSOT,Project internal,2026,INTERNAL_ARTIFACT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Day 26 protocol,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Locks scope and stop rules.,Internal scope source; not external scientific evidence.,Very high for project scope,INFERRED,Use as SSOT only.
EXT-MLFLOW-ARCH,experiment_tracking,How are MLflow metadata and artifacts stored?,MLflow separates backend metadata storage from artifact storage.,A local deployment must back up both stores and cannot treat one as the complete audit record.,MLflow Tracking Server architecture,OFFICIAL_DOCUMENTATION,MLflow,2026,https://mlflow.org/docs/latest/self-hosting/architecture/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Experiment tracking,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MLflow,NOT_APPLICABLE,System architecture,NOT_APPLICABLE,Backend and artifact stores are distinct components.,Does not itself prescribe this project’s governance SSOT.,High,OFFICIAL_VERIFIED,Supports hybrid tracking and coordinated backup.
EXT-MLFLOW-REGISTRY,model_registry,What registry capabilities does MLflow provide?,"MLflow Model Registry provides versions, lineage, aliases and tags.","Use MLflow for search/lineage convenience, while authoritative promotion decisions remain file-based and reviewed.",MLflow Model Registry,OFFICIAL_DOCUMENTATION,MLflow,2026,https://mlflow.org/docs/latest/ml/model-registry/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Model registry,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MLflow,NOT_APPLICABLE,Registry lifecycle,NOT_APPLICABLE,Registry supports versioning and lineage metadata.,Aliases/tags alone are not a clinical governance system.,High,OFFICIAL_VERIFIED,"Supports registry mirror, not sole SSOT."
EXT-MLFLOW-DB,experiment_tracking,What backend is appropriate for local model registry?,A database-backed backend is the durable path for registry functionality and future server migration.,"Use SQLite for single-operator local mode, with PostgreSQL migration trigger for multi-user operation.",MLflow backend store documentation,OFFICIAL_DOCUMENTATION,MLflow,2026,https://mlflow.org/docs/latest/self-hosting/architecture/backend-store/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Backend store,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,MLflow,NOT_APPLICABLE,Storage configuration,NOT_APPLICABLE,Backend database stores run and registry metadata.,SQLite concurrency and availability are limited.,High,OFFICIAL_VERIFIED,Supports local SQLite with explicit limits.
EXT-SK-PERSIST,serialization_security,What are the risks of pickle/joblib and version changes?,pickle/joblib can execute arbitrary code when loaded and sklearn does not guarantee cross-version model loading.,Prohibit untrusted deserialization; require exact environment and make pickle/joblib research-only by default.,Model persistence,OFFICIAL_DOCUMENTATION,scikit-learn developers,2026,https://scikit-learn.org/stable/model_persistence.html,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Model persistence,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,scikit-learn,NOT_APPLICABLE,Persistence/security,NOT_APPLICABLE,Security and compatibility depend on persistence method and environment.,"Documentation is generic, not sEMG-specific.",Very high,OFFICIAL_VERIFIED,Primary security anchor.
EXT-SK-ONNX,serialization_security,When is ONNX useful?,"ONNX can run supported models without the Python object, but not all models/custom transforms are supported.","Treat ONNX as a tested runtime derivative, not an automatic canonical source.",Model persistence — ONNX section,OFFICIAL_DOCUMENTATION,scikit-learn developers,2026,https://scikit-learn.org/stable/model_persistence.html#onnx,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Model conversion,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ONNX,NOT_APPLICABLE,Conversion/equivalence,NOT_APPLICABLE,ONNX reduces Python dependency but requires conversion support.,Calibrators/custom DSP/policies may not convert faithfully.,High,OFFICIAL_VERIFIED,Supports conditional ONNX gate.
EXT-ONNXRUNTIME,deployment_runtime,What runtime controls apply to ONNX inference?,ONNX Runtime provides CPU execution and configurable threading.,Profile a pinned CPU runtime and record thread settings; sandbox even converted graphs.,ONNX Runtime documentation,OFFICIAL_DOCUMENTATION,Microsoft / ONNX Runtime,2026,https://onnxruntime.ai/docs/get-started/with-python.html,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Inference runtime,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ONNX Runtime,NOT_APPLICABLE,Runtime deployment,NOT_APPLICABLE,Runtime can execute ONNX models on CPU with configurable sessions.,Does not prove semantic equivalence to source sklearn pipeline.,Medium-High,OFFICIAL_VERIFIED,Supports CPU-first converted runtime.
EXT-UV-LOCK,environment_reproducibility,How should dependencies be frozen?,uv supports project lock checking and frozen/locked synchronization and execution.,Require a real resolved uv.lock and hash before training; do not fabricate a lock.,uv project sync and lock documentation,OFFICIAL_DOCUMENTATION,Astral,2026,https://docs.astral.sh/uv/concepts/projects/sync/,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Dependency management,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,uv,NOT_APPLICABLE,Environment lock,NOT_APPLICABLE,Lockfile and frozen sync support reproducible dependency resolution.,Network/index availability and platform wheels still matter.,Very high,OFFICIAL_VERIFIED,Core environment-control anchor.
EXT-SK-RANDOM,randomness,How should sklearn randomness be controlled?,Explicit integer random_state values are required for reproducible estimator/split behavior; None uses mutable global randomness.,Manifest every seed and prohibit None for decision-grade stochastic components.,Controlling randomness,OFFICIAL_DOCUMENTATION,scikit-learn developers,2026,https://scikit-learn.org/stable/common_pitfalls.html#controlling-randomness,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Randomness control,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,scikit-learn,NOT_APPLICABLE,Reproducibility,NOT_APPLICABLE,Random-state semantics affect repeated fitting and CV.,Exact determinism still depends on numerical runtime.,Very high,OFFICIAL_VERIFIED,Supports explicit seed policy.
EXT-NP-SEEDSEQ,randomness,How can named independent random streams be generated?,NumPy SeedSequence can spawn reproducible child streams.,"Generate split, model, calibration, threshold and bootstrap seeds from one recorded root seed.",Parallel random number generation,OFFICIAL_DOCUMENTATION,NumPy developers,2026,https://numpy.org/doc/stable/reference/random/parallel.html,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Random streams,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NumPy,NOT_APPLICABLE,Seed spawning,NOT_APPLICABLE,SeedSequence supports reproducible spawned generators.,Does not by itself enforce estimator use of the streams.,Very high,OFFICIAL_VERIFIED,Supports named child seeds.
